,LLOC,FALCON-2284,FALCON-2273,FALCON-2242,FALCON-2303,FALCON-2263,FALCON-2292,FALCON-2287,FALCON-2275,FALCON-2261,FALCON-2286,FALCON-2298,FALCON-2281,FALCON-2279,FALCON-2277,FALCON-2259,FALCON-2293,FALCON-2276,FALCON-2272,FALCON-2271,FALCON-2229,FALCON-2305,FALCON-2290,FALCON-2280,FALCON-2283,FALCON-2267,FALCON-2221,FALCON-2270,FALCON-2266,FALCON-2274,FALCON-2264,FALCON-2268,FALCON-2239,FALCON-2240,FALCON-2238
common/src/main/java/org/apache/falcon/service/GroupsService.java,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/service/LifecyclePolicyMap.java,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/service/LogCleanupService.java,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/service/ProxyUserService.java,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/service/ServiceInitializer.java,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/service/Services.java,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/tools/FalconStateStoreDBCLI.java,387,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/update/UpdateHelper.java,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/ApplicationProperties.java,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/BuildProperties.java,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/CalendarUnit.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/DateUtil.java,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/DeploymentProperties.java,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/DeploymentUtil.java,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/DistCPOptionsUtil.java,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/FalconRadixUtils.java,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/FSDRUtils.java,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/HadoopQueueUtil.java,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/HdfsClassLoader.java,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/util/RadixNode.java,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
